Id,Score,Body
"950098","109","<p>It is possible to dynamically generate a JavaScript tag and append it to HTML document from inside other JavaScript code. This will load targeted JavaScript file.</p>

<pre><code>function includeJs(jsFilePath) {
    var js = document.createElement(""script"");

    js.type = ""text/javascript"";
    js.src = jsFilePath;

    document.body.appendChild(js);
}

includeJs(""/path/to/some/file.js"");
</code></pre>
"
"950109","64","<p>Maybe you can use this function that I found on this page <em><a href=""http://forums.digitalpoint.com/showthread.php?t=146094"" rel=""noreferrer"">How do I include a JavaScript file in a JavaScript file?</a></em>:</p>

<pre><code>function include(filename)
{
    var head = document.getElementsByTagName('head')[0];

    var script = document.createElement('script');
    script.src = filename;
    script.type = 'text/javascript';

    head.appendChild(script)
}
</code></pre>
"
"950146","4901","<p>The old versions of JavaScript had no import, include, or require, so many different approaches to this problem have been developed.</p>

<p>But since 2015 (ES6), JavaScript has had the <a href=""http://exploringjs.com/es6/ch_modules.html"" rel=""noreferrer"">ES6 modules</a> standard to import modules in Node.js, which is also supported by <a href=""https://caniuse.com/#feat=es6-module"" rel=""noreferrer"">most modern browsers</a>.</p>

<p>For compatibility with older browsers, build tools like <a href=""https://webpack.github.io/"" rel=""noreferrer"">Webpack</a> and <a href=""https://rollupjs.org/"" rel=""noreferrer"">Rollup</a> and/or transpilation tools like <a href=""https://babeljs.io/"" rel=""noreferrer"">Babel</a> can be used.</p>

<h1>ES6 Modules</h1>

<p>ECMAScript (ES6) modules have been <a href=""https://nodejs.org/api/esm.html"" rel=""noreferrer"">supported in Node.js</a> since v8.5, with the <code>--experimental-modules</code> flag, and since at least Node.js v13.8.0 without the flag. To enable ""ESM"" (vs. Node.js's previous CommonJS-style module system [""CJS""]) you either use <code>""type"": ""module""</code> in <code>package.json</code> or give the files the extension <code>.mjs</code>. (Similarly, modules written with Node.js's previous CJS module can be named <code>.cjs</code> if your default is ESM.)</p>

<p>Using <code>package.json</code>:</p>

<pre class=""lang-json prettyprint-override""><code>{
    ""type"": ""module""
}
</code></pre>

<p>Then <code>module.js</code>:</p>

<pre class=""lang-javascript prettyprint-override""><code>export function hello() {
  return ""Hello"";
}
</code></pre>

<p>Then <code>main.js</code>:</p>

<pre><code>import { hello } from './module.js';
let val = hello();  // val is ""Hello"";
</code></pre>

<p>Using <code>.mjs</code>, you'd have <code>module.mjs</code>:</p>

<pre><code>export function hello() {
  return ""Hello"";
}
</code></pre>

<p>Then <code>main.mjs</code>:</p>

<pre><code>import { hello } from './module.mjs';
let val = hello();  // val is ""Hello"";
</code></pre>

<h2>ECMAScript modules in browsers</h2>

<p>Browsers have had support for loading ECMAScript modules directly (no tools like Webpack required) <a href=""https://jakearchibald.com/2017/es-modules-in-browsers/"" rel=""noreferrer"">since</a> Safari 10.1, Chrome 61, Firefox 60, and Edge 16. Check the current support at <a href=""https://caniuse.com/#feat=es6-module"" rel=""noreferrer"">caniuse</a>. There is no need to use Node.js' <code>.mjs</code> extension; browsers completely ignore file extensions on modules/scripts.</p>

<pre class=""lang-javascript prettyprint-override""><code>&lt;script type=""module""&gt;
  import { hello } from './hello.mjs'; // Or it could be simply `hello.js`
  hello('world');
&lt;/script&gt;
</code></pre>

<pre class=""lang-javascript prettyprint-override""><code>// hello.mjs -- or it could be simply `hello.js`
export function hello(text) {
  const div = document.createElement('div');
  div.textContent = `Hello ${text}`;
  document.body.appendChild(div);
}
</code></pre>

<p>Read more at <a href=""https://jakearchibald.com/2017/es-modules-in-browsers/"" rel=""noreferrer"">https://jakearchibald.com/2017/es-modules-in-browsers/</a></p>

<h3>Dynamic imports in browsers</h3>

<p>Dynamic imports let the script load other scripts as needed:</p>

<pre class=""lang-javascript prettyprint-override""><code>&lt;script type=""module""&gt;
  import('hello.mjs').then(module =&gt; {
      module.hello('world');
    });
&lt;/script&gt;
</code></pre>

<p>Read more at <a href=""https://developers.google.com/web/updates/2017/11/dynamic-import"" rel=""noreferrer"">https://developers.google.com/web/updates/2017/11/dynamic-import</a></p>

<h1>Node.js require</h1>

<p>The older CJS module style, still widely used in Node.js, is the <a href=""https://nodejs.org/api/modules.html"" rel=""noreferrer""><code>module.exports</code>/<code>require</code></a> system.</p>

<pre class=""lang-javascript prettyprint-override""><code>// mymodule.js
module.exports = {
   hello: function() {
      return ""Hello"";
   }
}
</code></pre>

<pre class=""lang-javascript prettyprint-override""><code>// server.js
const myModule = require('./mymodule');
let val = myModule.hello(); // val is ""Hello""   
</code></pre>

<p>There are other ways for JavaScript to include external JavaScript contents in browsers that do not require preprocessing.</p>

<h1>AJAX Loading</h1>

<p>You could load an additional script with an AJAX call and then use <code>eval</code> to run it. This is the most straightforward way, but it is limited to your domain because of the JavaScript sandbox security model. Using <code>eval</code> also opens the door to bugs, hacks and security issues.</p>

<h1>Fetch Loading</h1>

<p>Like Dynamic Imports you can load one or many scripts with a <code>fetch</code> call using promises to control order of execution for script dependencies using the <a href=""https://git.habd.as/jhabdas/fetch-inject"" rel=""noreferrer"">Fetch Inject</a> library:</p>

<pre><code>fetchInject([
  'https://cdn.jsdelivr.net/momentjs/2.17.1/moment.min.js'
]).then(() =&gt; {
  console.log(`Finish in less than ${moment().endOf('year').fromNow(true)}`)
})
</code></pre>

<h1>jQuery Loading</h1>

<p>The <a href=""http://jquery.com/"" rel=""noreferrer"">jQuery</a> library provides loading functionality <a href=""http://api.jquery.com/jQuery.getScript/"" rel=""noreferrer"">in one line</a>:</p>

<pre class=""lang-javascript prettyprint-override""><code>$.getScript(""my_lovely_script.js"", function() {
   alert(""Script loaded but not necessarily executed."");
});
</code></pre>

<h1>Dynamic Script Loading</h1>

<p>You could add a script tag with the script URL into the HTML. To avoid the overhead of jQuery, this is an ideal solution.</p>

<p>The script can even reside on a different server. Furthermore, the browser evaluates the code. The <code>&lt;script&gt;</code> tag can be injected into either the web page <code>&lt;head&gt;</code>, or inserted just before the closing <code>&lt;/body&gt;</code> tag.</p>

<p>Here is an example of how this could work:</p>

<pre class=""lang-javascript prettyprint-override""><code>function dynamicallyLoadScript(url) {
    var script = document.createElement(""script"");  // create a script DOM node
    script.src = url;  // set its src to the provided URL

    document.head.appendChild(script);  // add it to the end of the head section of the page (could change 'head' to 'body' to add it to the end of the body section instead)
}
</code></pre>

<p>This function will add a new <code>&lt;script&gt;</code> tag to the end of the head section of the page, where the <code>src</code> attribute is set to the URL which is given to the function as the first parameter.</p>

<p>Both of these solutions are discussed and illustrated in <a href=""http://unixpapa.com/js/dyna.html"" rel=""noreferrer"">JavaScript Madness: Dynamic Script Loading</a>.</p>

<h1>Detecting when the script has been executed</h1>

<p>Now, there is a big issue you must know about. Doing that implies that <em>you remotely load the code</em>. Modern web browsers will load the file and keep executing your current script because they load everything asynchronously to improve performance. (This applies to both the jQuery method and the manual dynamic script loading method.)</p>

<p>It means that if you use these tricks directly, <em>you won't be able to use your newly loaded code the next line after you asked it to be loaded</em>, because it will be still loading.</p>

<p>For example: <code>my_lovely_script.js</code> contains <code>MySuperObject</code>:</p>

<pre class=""lang-javascript prettyprint-override""><code>var js = document.createElement(""script"");

js.type = ""text/javascript"";
js.src = jsFilePath;

document.body.appendChild(js);

var s = new MySuperObject();

Error : MySuperObject is undefined
</code></pre>

<p>Then you reload the page hitting <kbd>F5</kbd>. And it works! Confusing...</p>

<p><strong>So what to do about it ?</strong></p>

<p>Well, you can use the hack the author suggests in the link I gave you. In summary, for people in a hurry, he uses an event to run a callback function when the script is loaded. So you can put all the code using the remote library in the callback function. For example:</p>

<pre class=""lang-javascript prettyprint-override""><code>function loadScript(url, callback)
{
    // Adding the script tag to the head as suggested before
    var head = document.head;
    var script = document.createElement('script');
    script.type = 'text/javascript';
    script.src = url;

    // Then bind the event to the callback function.
    // There are several events for cross browser compatibility.
    script.onreadystatechange = callback;
    script.onload = callback;

    // Fire the loading
    head.appendChild(script);
}
</code></pre>

<p>Then you write the code you want to use AFTER the script is loaded in a <a href=""http://en.wikipedia.org/wiki/Anonymous_function"" rel=""noreferrer"">lambda function</a>:</p>

<pre class=""lang-javascript prettyprint-override""><code>var myPrettyCode = function() {
   // Here, do whatever you want
};
</code></pre>

<p>Then you run all that:</p>

<pre class=""lang-javascript prettyprint-override""><code>loadScript(""my_lovely_script.js"", myPrettyCode);
</code></pre>

<p>Note that the script may execute after the DOM has loaded, or before, depending on the browser and whether you included the line <code>script.async = false;</code>. There's a <a href=""http://www.html5rocks.com/en/tutorials/speed/script-loading/"" rel=""noreferrer"">great article on Javascript loading in general</a> which discusses this.</p>

<h1>Source Code Merge/Preprocessing</h1>

<p>As mentioned at the top of this answer, many developers use build/transpilation tool(s) like Parcel, Webpack, or Babel in their projects, allowing them to use upcoming JavaScript syntax, provide backward compatibility for older browsers, combine files, minify, perform code splitting etc.</p>
"
"1144788","4704","<p><strong>As of August 2020:</strong> <a href=""https://www.caniuse.com/mdn-javascript_builtins_string_replaceall"" rel=""noreferrer"">Modern browsers have support</a> for the <a href=""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/String/replaceAll"" rel=""noreferrer""><code>String.replaceAll()</code> method</a> defined by the ECMAScript 2021 language specification.</p>
<hr />
<p><strong>For older/legacy browsers:</strong></p>
<pre class=""lang-js prettyprint-override""><code>str = str.replace(/abc/g, '');
</code></pre>
<p>In response to comment:</p>
<pre class=""lang-js prettyprint-override""><code>var find = 'abc';
var re = new RegExp(find, 'g');

str = str.replace(re, '');
</code></pre>
<p>In response to <a href=""https://stackoverflow.com/users/49153/click-upvote"">Click Upvote</a>'s comment, you could simplify it even more:</p>
<pre class=""lang-js prettyprint-override""><code>function replaceAll(str, find, replace) {
  return str.replace(new RegExp(find, 'g'), replace);
}
</code></pre>
<p><strong>Note:</strong> Regular expressions contain special (meta) characters, and as such it is dangerous to blindly pass an argument in the <code>find</code> function above without pre-processing it to escape those characters.  This is covered in the <a href=""https://developer.mozilla.org/en-US/"" rel=""noreferrer"">Mozilla Developer Network</a>'s <a href=""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Guide/Regular_Expressions#Escaping"" rel=""noreferrer"">JavaScript Guide on Regular Expressions</a>, where they present the following utility function (which has changed at least twice since this answer was originally written, so make sure to check the MDN site for potential updates):</p>
<pre class=""lang-js prettyprint-override""><code>function escapeRegExp(string) {
  return string.replace(/[.*+\-?^${}()|[\]\\]/g, '\\$&amp;'); // $&amp; means the whole matched string
}
</code></pre>
<p>So in order to make the <code>replaceAll()</code> function above safer, it could be modified to the following if you also include <code>escapeRegExp</code>:</p>
<pre class=""lang-js prettyprint-override""><code>function replaceAll(str, find, replace) {
  return str.replace(new RegExp(escapeRegExp(find), 'g'), replace);
}
</code></pre>
"
"41121827","82","<p>Because <br/>
<strong>$.ajax({type: &quot;POST&quot;</strong> - calls <strong>OPTIONS</strong> <br/>
<strong>$.post(</strong> - Calls <strong>POST</strong> <br/></p>
<p>Both are different. Postman calls &quot;POST&quot; properly, but when we call it, it will be &quot;OPTIONS&quot;.</p>
<p><strong>For C# web services - <a href=""https://en.wikipedia.org/wiki/ASP.NET_MVC_Framework#Apache_License_2.0_release"" rel=""noreferrer"">Web API</a></strong></p>
<p>Please add the following code in your <em>web.config</em> file under &lt;system.webServer&gt; tag. This will work:</p>
<pre><code>&lt;httpProtocol&gt;
    &lt;customHeaders&gt;
        &lt;add name=&quot;Access-Control-Allow-Origin&quot; value=&quot;*&quot; /&gt;
    &lt;/customHeaders&gt;
&lt;/httpProtocol&gt;
</code></pre>
<p>Please make sure you are not doing any mistake in the Ajax call</p>
<h3>jQuery</h3>
<pre><code>$.ajax({
    url: 'http://mysite.microsoft.sample.xyz.com/api/mycall',
    headers: {
        'Content-Type': 'application/x-www-form-urlencoded'
    },
    type: &quot;POST&quot;, /* or type:&quot;GET&quot; or type:&quot;PUT&quot; */
    dataType: &quot;json&quot;,
    data: {
    },
    success: function (result) {
        console.log(result);
    },
    error: function () {
        console.log(&quot;error&quot;);
    }
});
</code></pre>
<p><strong>Note:</strong> If you are looking for downloading content <strong>from a third-party website</strong> then <strong>this will not help you</strong>.  You can try the following code, but not JavaScript.</p>
<pre><code>System.Net.WebClient wc = new System.Net.WebClient();
string str = wc.DownloadString(&quot;http://mysite.microsoft.sample.xyz.com/api/mycall&quot;);
</code></pre>
"
"351421","4785","<p>Use the <a href=""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/push"" rel=""noreferrer""><code>Array.prototype.push</code></a> method to append values to the end of an array:</p>
<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>// initialize array
var arr = [
  ""Hi"",
  ""Hello"",
  ""Bonjour""
];

// append new value to the array
arr.push(""Hola"");

console.log(arr);</code></pre>
</div>
</div>
</p>
<hr />
<p>You can use the <code>push()</code> function to append more than one value to an array in a single call:</p>
<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>// initialize array
var arr = [""Hi"", ""Hello"", ""Bonjour"", ""Hola""];

// append multiple values to the array
arr.push(""Salut"", ""Hey"");

// display all values
for (var i = 0; i &lt; arr.length; i++) {
  console.log(arr[i]);
}</code></pre>
</div>
</div>
</p>
<hr />
<p><strong>Update</strong></p>
<p>If you want to add the items of one array to another array, you can use <a href=""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/concat"" rel=""noreferrer""><code>firstArray.concat(secondArray)</code></a>:</p>
<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>var arr = [
  ""apple"",
  ""banana"",
  ""cherry""
];

arr = arr.concat([
  ""dragonfruit"",
  ""elderberry"",
  ""fig""
]);

console.log(arr);</code></pre>
</div>
</div>
</p>
<p><strong>Update</strong></p>
<p>Just an addition to this answer if you want to prepend any value to the start of an array (i.e. first index) then you can use <a href=""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Global_Objects/Array/unshift"" rel=""noreferrer""><code>Array.prototype.unshift</code></a> for this purpose.</p>
<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>var arr = [1, 2, 3];
arr.unshift(0);
console.log(arr);</code></pre>
</div>
</div>
</p>
<p>It also supports appending multiple values at once just like <code>push</code>.</p>
<hr />
<p><strong>Update</strong></p>
<p>Another way with <em><strong>ES6</strong></em> syntax is to return a new array with the <em><strong><a href=""https://developer.mozilla.org/en-US/docs/Web/JavaScript/Reference/Operators/Spread_syntax"" rel=""noreferrer"">spread syntax</a></strong></em>. This leaves the original array unchanged, but returns a new array with new items appended, compliant with the spirit of functional programming.</p>
<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>const arr = [
  ""Hi"",
  ""Hello"",
  ""Bonjour"",
];

const newArr = [
  ...arr,
  ""Salut"",
];

console.log(newArr);</code></pre>
</div>
</div>
</p>
"
"901119","168","<p>If you're using jQuery, you can use a library, such as <a href=""http://benalman.com/projects/jquery-bbq-plugin/"" rel=""noreferrer"">jQuery BBQ: Back Button &amp; Query Library</a>.</p>

<blockquote>
  <p>...jQuery BBQ provides a full <code>.deparam()</code> method, along with both hash state management, and fragment / query string parse and merge utility methods.</p>
</blockquote>

<p>Edit: Adding Deparam Example:</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""false"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code> var DeparamExample = function() {
            var params = $.deparam.querystring();

            //nameofparam is the name of a param from url
            //code below will get param if ajax refresh with hash
            if (typeof params.nameofparam == 'undefined') {
                params = jQuery.deparam.fragment(window.location.href);
            }
            
            if (typeof params.nameofparam != 'undefined') {
                var paramValue = params.nameofparam.toString();
                  
            }
        };</code></pre>
</div>
</div>
</p>

<p>If you want to just use plain JavaScript, you could use...</p>

<pre class=""lang-js prettyprint-override""><code>var getParamValue = (function() {
    var params;
    var resetParams = function() {
            var query = window.location.search;
            var regex = /[?&amp;;](.+?)=([^&amp;;]+)/g;
            var match;

            params = {};

            if (query) {
                while (match = regex.exec(query)) {
                    params[match[1]] = decodeURIComponent(match[2]);
                }
            }    
        };

    window.addEventListener
    &amp;&amp; window.addEventListener('popstate', resetParams);

    resetParams();

    return function(param) {
        return params.hasOwnProperty(param) ? params[param] : null;
    }

})();​
</code></pre>

<p>Because of the new HTML History API and specifically <code>history.pushState()</code> and <code>history.replaceState()</code>, the URL can change which will invalidate the cache of parameters and their values.</p>

<p>This version will update its internal cache of parameters each time the history changes.</p>
"
"426273","152","<p>You can do</p>

<pre><code>$('.myCheckbox').attr('checked',true) //Standards compliant
</code></pre>

<p>or</p>

<pre><code>$(""form #mycheckbox"").attr('checked', true)
</code></pre>

<p>If you have custom code in the onclick event for the checkbox that you want to fire, use this one instead:</p>

<pre><code>$(""#mycheckbox"").click();
</code></pre>

<p>You can uncheck by removing the attribute entirely:</p>

<pre><code>$('.myCheckbox').removeAttr('checked')
</code></pre>

<p>You can check all checkboxes like this:</p>

<pre><code>$("".myCheckbox"").each(function(){
    $(""#mycheckbox"").click()
});
</code></pre>
"
"951033","140","<p>For the love of $DEITY please do not make a busy-wait sleep function.  <code>setTimeout</code> and <code>setInterval</code> do everything you need.</p>

<p><div class=""snippet"" data-lang=""js"" data-hide=""false"" data-console=""true"" data-babel=""false"">
<div class=""snippet-code"">
<pre class=""snippet-code-js lang-js prettyprint-override""><code>var showHide = document.getElementById('showHide');
setInterval(() =&gt; {
    showHide.style.visibility = ""initial"";
    setTimeout(() =&gt; {
        showHide.style.visibility = ""hidden""
    }, 1000);
    ;
}, 2000);   </code></pre>
<pre class=""snippet-code-html lang-html prettyprint-override""><code>&lt;div id=""showHide""&gt;Hello! Goodbye!&lt;/div&gt;</code></pre>
</div>
</div>
</p>

<p>Every two second interval hide text for one second. This shows how to use setInterval and setTimeout to show and hide text each second. </p>
"
"1232046","4898","<p>Ways to clear an existing array <code>A</code>:</p>

<p><strong>Method 1</strong></p>

<p>(this was my original answer to the question)</p>

<pre><code>A = [];
</code></pre>

<p>This code will set the variable <code>A</code> to a new empty array. This is perfect if you don't have <strong>references to the original array <code>A</code></strong> anywhere else because this actually creates a brand new (empty) array. You should be careful with this method because if you have referenced this array from another variable or property, the original array will remain unchanged. Only use this if you only reference the array by its original variable <code>A</code>.</p>

<p>This is also the fastest solution.</p>

<p>This code sample shows the issue you can encounter when using this method:</p>

<pre><code>var arr1 = ['a','b','c','d','e','f'];
var arr2 = arr1;  // Reference arr1 by another variable 
arr1 = [];
console.log(arr2); // Output ['a','b','c','d','e','f']
</code></pre>

<p><strong>Method 2</strong> (as <a href=""https://stackoverflow.com/a/1234337/113570"">suggested</a> by <a href=""https://stackoverflow.com/users/2214/matthew-crumley"">Matthew Crumley</a>)</p>

<pre><code>A.length = 0
</code></pre>

<p>This will clear the existing array by setting its length to 0. Some have argued that this may not work in all implementations of JavaScript, but it turns out that this is not the case. It also works when using ""strict mode"" in ECMAScript 5 because the length property of an array is a read/write property.</p>

<p><strong>Method 3</strong> (as <a href=""https://stackoverflow.com/a/8134354/113570"">suggested</a> by <a href=""https://stackoverflow.com/users/1047275/anthony"">Anthony</a>)</p>

<pre><code>A.splice(0,A.length)
</code></pre>

<p>Using <code>.splice()</code> will work perfectly, but since the <code>.splice()</code> function will return an array with all the removed items, it will actually return a copy of the original array. Benchmarks suggest that this has no effect on performance whatsoever.</p>

<p><strong>Method 4</strong> (as <a href=""https://stackoverflow.com/a/17306971/113570"">suggested</a> by <a href=""https://stackoverflow.com/users/990356/tanguy-k"">tanguy_k</a>)</p>

<pre><code>while(A.length &gt; 0) {
    A.pop();
}
</code></pre>

<p>This solution is not very succinct, and it is also the slowest solution, contrary to earlier benchmarks referenced in the original answer.</p>

<p><strong>Performance</strong></p>

<p>Of all the methods of clearing an <strong><em>existing array</em></strong>, methods 2 and 3 are very similar in performance and are a lot faster than method 4. See this <a href=""http://jsben.ch/#/hyj65"" rel=""noreferrer"">benchmark</a>.</p>

<p>As pointed out by <a href=""https://stackoverflow.com/users/47401/diadistis"">Diadistis</a> in their <a href=""https://stackoverflow.com/a/28548360/113570"">answer</a> below, the original benchmarks that were used to determine the performance of the four methods described above were flawed. The original benchmark reused the cleared array so the second iteration was clearing an array that was already empty.</p>

<p>The following benchmark fixes this flaw: <a href=""http://jsben.ch/#/hyj65"" rel=""noreferrer"">http://jsben.ch/#/hyj65</a>. It clearly shows that methods #2 (length property) and #3 (splice) are the fastest (not counting method #1 which doesn't change the original array).</p>

<hr/>

<p>This has been a hot topic and the cause of a lot of controversy. There are actually many correct answers and because this answer has been marked as the accepted answer for a very long time, I will include all of the methods here. If you vote for this answer, please upvote the other answers that I have referenced as well.</p>
"
